שם הקרן,מס' קרן,פרופיל חשיפה מניות,"פרופיל חשיפה מט""ח",סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מאפייני הקרן,מנהל קרן,נאמן,מעמד מס,דמי ניהול,דמי נאמנות,שווי נכסי הקרן,תאריך נכונות,מחיר קניה,מחיר פדיון,שינוי יומי %,תשואות מתחילת החודש,תשואות מתחילת השנה,תשואות 12 חודשים,סטיית תקן,נכס ייחוס,סיווג עמלת הפצה
MTF מח אנד צריכה בסיסית,5131529,4,A,מניות בארץ,מניות לפי ענפים,צריכה בסיסית,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מגדל,מזרחי טפחות נאמנות,פטורה,0.500,0.0400,113.3,26.02.2026,166.25,166.25,‎-0.17,0.50,7.05,44.36,1.86,אינדקס צריכה בסיסית ישראל,לא נגבית עמלת הפצה
תכלית NASDAQ Green TTF ממ,5131537,4,A,"מניות בחו""ל","מניות לפי ענפים בחו""ל - מנוטרלת מט""ח",Cleantech,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",מיטב קרנות נאמנות,הרמטיק נאמנות,פטורה,0.800,0.0300,35.2,25.02.2026,71.46,71.43,0.62,‎-1.56,12.72,45.95,4.49,NASDAQ Clean Edge Green Energy Equal Weighted Index,לא נגבית עמלת הפצה
אקורד (1A)י 10/90,5131545,1,A,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 10% מניות","אג""ח כללי בארץ- עד 10% מניות ללא סימן קריאה",,איילון,יובנק נאמנות,פטורה,0.750,0.0400,318.2,26.02.2026,135.54,135.54,‎-0.29,‎-0.57,‎-0.07,7.08,0.43,"All-Bond כללי,ת""א 125",0.35%
"אקורד אג""ח מדורגות",5131552,0,0,"אג""ח בארץ - חברות והמרה",חברות והמרה ללא מניות,חברות והמרה ללא מניות וללא סימן קריאה,,איילון,יובנק נאמנות,פטורה,0.770,0.0400,280.1,26.02.2026,127.57,127.57,‎-0.25,‎-0.38,0.29,5.76,0.35,"אג""ח כללי - קונצרני",0.35%
אקורד (2B)י 20/80,5131560,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 20% מניות",,,איילון,יובנק נאמנות,פטורה,0.790,0.0400,463.0,26.02.2026,154.18,154.18,‎-0.23,‎-0.89,0.54,8.45,0.60,"All-Bond כללי,ת""א 125",0.35%
קסם KTF אינ מזון ישראלי,5131578,4,A,מניות בארץ,מניות לפי ענפים,צריכה בסיסית,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קסם,יובנק נאמנות,פטורה,0.500,0.0250,69.9,26.02.2026,186.72,186.72,0.03,0.85,9.16,48.77,1.96,אינדקס מזון ישראלי,לא נגבית עמלת הפצה
"מור(!) אג""ח חב רכיב בטוחה",5131586,0,A,"אג""ח בארץ - חברות והמרה",חברות והמרה ללא מניות,חברות והמרה ללא מניות עם סימן קריאה,,מור קרנות,יובנק נאמנות,פטורה,0.820,0.0300,451.8,26.02.2026,130.51,130.51,‎-0.18,‎-0.27,0.38,5.14,0.22,"אג""ח כללי - קונצרני",0.35%
איביאי מחקה אינAתקרתמנפיק,5131602,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות","אג""ח חברות שקלי וצמוד",לפי מדיניות השקעותיה הקרן הינה קרן מחקה,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.300,0.0200,484.4,26.02.2026,123.24,123.24,‎-0.23,‎-0.71,0.00,5.80,0.30,אינדקס A תקרת מנפיק,לא נגבית עמלת הפצה
איביאי מחקה תל-ב צבלאCOCO,5131610,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות צמודות מדד",בריבית קבועה,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.180,0.0200,169.6,26.02.2026,114.83,114.83,‎-0.10,‎-0.13,0.07,5.17,0.16,תל בונד צמודות - בנקים ללא COCO,לא נגבית עמלת הפצה
איביאי מחקה S&P 500 ממ,5131628,4,A,"מניות בחו""ל","מניות גיאוגרפי - מנוטרלת מט""ח",אמריקה- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.250,0.0150,1184.5,25.02.2026,201.68,201.68,0.81,‎-0.38,1.40,13.36,1.53,S&P 500 - NTR,לא נגבית עמלת הפצה
איביאי מחקה תל בונד מאגר,5131636,0,A,"אג""ח בארץ - חברות והמרה","אג""ח חברות","אג""ח חברות שקלי וצמוד",לפי מדיניות השקעותיה הקרן הינה קרן מחקה,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.150,0.0200,67.4,26.02.2026,120.52,120.52,‎-0.22,‎-0.40,0.10,6.06,0.29,תל בונד מאגר,לא נגבית עמלת הפצה
איביאי מחקה Nasdaq100 ממ,5131644,4,A,"מניות בחו""ל","מניות גיאוגרפי - מנוטרלת מט""ח",אמריקה- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.300,0.0150,927.3,25.02.2026,210.41,210.41,1.40,‎-2.25,0.13,15.86,2.04,NASDAQ 100 - NTR,לא נגבית עמלת הפצה
איביאי מחקה תלגוב-צמוד0-2,5131701,0,0,"אג""ח בארץ - מדינה","אג""ח מדינה צמוד מדד",צמודות מדד ממשלתיות - קצר,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.100,0.0150,195.3,26.02.2026,265.86,265.86,0.01,0.05,0.55,4.30,0.08,תל גוב-צמודות 0-2,לא נגבית עמלת הפצה
קסם ICNET KTF,5131719,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - חשופת מט""ח",Internet,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",קסם,הרמטיק נאמנות,פטורה,0.800,0.0300,5.1,25.02.2026,56.66,56.66,‎-1.92,‎-11.41,‎-10.29,‎-4.36,2.52,"Indxx China Internet ,דולר ארה""ב",לא נגבית עמלת הפצה
MTF מח אנד A-AA שקלי,5131727,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות שקלי",בריבית קבועה,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מגדל,מזרחי טפחות נאמנות,פטורה,0.000,0.0300,62.7,26.02.2026,114.81,114.81,‎-0.23,‎-0.16,0.75,7.69,0.28,"אינדקס AA-A שקלי. ",לא נגבית עמלת הפצה
MTF מח אנד A-AA צמוד,5131735,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות צמודות מדד",בריבית קבועה,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מגדל,מזרחי טפחות נאמנות,פטורה,0.250,0.0300,267.0,26.02.2026,121.79,121.79,‎-0.19,‎-0.38,‎-0.12,5.65,0.24,אינדקס A-AA צמוד,לא נגבית עמלת הפצה
מור מחקה אי.צריכה ישראלית,5131743,4,A,מניות בארץ,מניות לפי ענפים,שילוב ענפים,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מור קרנות,יובנק נאמנות,פטורה,0.550,0.0200,21.2,26.02.2026,164.12,164.12,0.07,‎-0.70,3.25,27.21,1.98,אינדקס צריכה ישראלית,לא נגבית עמלת הפצה
תכליתIND Tour&Leis EW TTF,5131768,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - חשופת מט""ח",Travel,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",מיטב קרנות נאמנות,יובנק נאמנות,פטורה,0.600,0.0300,16.6,25.02.2026,151.09,151.02,0.07,2.15,‎-0.62,‎-6.48,2.30,"INDXX DEVELOPED TOURISM AND LEISURE,דולר ארה""ב",לא נגבית עמלת הפצה
הראל מחקה תל גוב-כללי,5131792,0,A,"אג""ח בארץ - מדינה","אג""ח מדינה שיקלי וצמוד",,"לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן כשרה",הראל,מזרחי טפחות נאמנות,פטורה,0.100,0.0200,171.5,26.02.2026,102.07,102.07,‎-0.25,0.11,0.69,6.39,0.30,תל גוב-כללי,לא נגבית עמלת הפצה
קסםKTFמש SP צריכה ארהב ממ,5131818,4,A,"מניות בחו""ל","מניות בחו""ל קרן משולבת",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",קסם,יובנק נאמנות,פטורה,0.000,0.0200,15.1,25.02.2026,21361.71,21361.71,‎-0.30,2.24,5.79,4.89,1.27,"S&P Consumer Discretionary Select Sector - NTR,S&P Consumer Staples Select Sector - NTR",לא נגבית עמלת הפצה
קסם KTF מש SP ארהב צריכה,5131826,4,D,"מניות בחו""ל","מניות בחו""ל קרן משולבת",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",קסם,יובנק נאמנות,פטורה,0.000,0.0200,11.7,25.02.2026,21047.44,21047.44,‎-0.69,2.21,2.84,‎-7.77,1.75,"S&P Consumer Discretionary Select Sector - NTR,S&P Consumer Staples Select Sector - NTR,דולר ארה""ב",לא נגבית עמלת הפצה
איביאי מחקה DJ US RealEst,5131834,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - חשופת מט""ח",REIT &  Real Estate,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.800,0.0200,145.2,25.02.2026,1187.25,1187.25,‎-0.84,4.16,3.78,‎-7.77,1.73,"Dow Jones U.S. Real Estate Index,דולר ארה""ב",לא נגבית עמלת הפצה
קסםKTFמש SP ארהב פיננס ממ,5131842,4,A,"מניות בחו""ל","מניות בחו""ל קרן משולבת",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",קסם,יובנק נאמנות,פטורה,0.000,0.0200,27.6,25.02.2026,19912.24,19912.24,1.69,‎-2.12,‎-1.83,1.29,1.72,"S&P Financial Select Sector- NTR,S&P Regional Banks Select Industry Index -NTR",לא נגבית עמלת הפצה
ISPי (2B)י 20/80,5131867,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 20% מניות",,,איילון,יובנק נאמנות,פטורה,0.800,0.0400,33.9,26.02.2026,133.95,133.95,‎-0.25,‎-0.49,1.86,14.86,0.60,"All-Bond כללי,ת""א 125",0.35%
"ISPי אג""ח ללא מניות",5131875,0,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - ללא מניות","אג""ח כללי בארץ ללא מניות וללא סימן קריאה",,איילון,יובנק נאמנות,פטורה,0.700,0.0400,57.0,26.02.2026,114.22,114.22,‎-0.21,‎-0.20,0.50,7.70,0.30,All-Bond כללי,0.35%
מור מחקה אי.תש.ובינוי US,5131883,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - חשופת מט""ח",REIT &  Real Estate,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",מור קרנות,יובנק נאמנות,פטורה,0.800,0.0200,302.0,25.02.2026,239.65,239.65,‎-1.39,8.72,14.75,11.58,1.78,"אינדקס תשתיות ובינוי ארה""ב,דולר ארה""ב",לא נגבית עמלת הפצה
מור מחקה אי.טכנ מ.שווה,5131891,4,A,מניות בארץ,מניות לפי ענפים,טכנולוגיה,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מור קרנות,יובנק נאמנות,פטורה,0.550,0.0200,44.1,26.02.2026,196.64,196.64,0.10,‎-6.65,3.93,51.81,2.20,אינדקס טכנולוגיה ישראל EW,לא נגבית עמלת הפצה
איביאי מחקה תלב-תשואות שק,5131909,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות שקלי",בריבית קבועה,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.200,0.0200,94.7,26.02.2026,120.16,120.16,‎-0.25,‎-1.35,‎-0.28,4.07,0.37,תל בונד-תשואות שקל,לא נגבית עמלת הפצה
תכלית TTF בנקים ישראל,5131925,4,0,מניות בארץ,מניות לפי ענפים,בנקאות ואשראי חוץ בנקאי,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מיטב קרנות נאמנות,יובנק נאמנות,פטורה,0.200,0.0300,504.3,26.02.2026,426.10,426.10,‎-3.31,0.15,7.56,59.64,2.99,אינדקס בנקים ישראל,לא נגבית עמלת הפצה
קסם HXRNTR KTF מד,5131941,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - מנוטרלת מט""ח",Cyber Security,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",קסם,אלמגור-בריטמן נאמנות,פטורה,0.700,0.0250,35.6,25.02.2026,116.01,115.94,2.08,‎-3.71,‎-7.17,‎-8.97,2.01,ISE Cyber Security - NTR,לא נגבית עמלת הפצה
דיאמונד (2B)י 30/70,5131958,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 30% מניות",,,איילון,מזרחי טפחות נאמנות,פטורה,0.890,0.0400,100.0,26.02.2026,161.29,161.29,‎-0.26,0.43,2.94,21.00,0.83,"All-Bond כללי,ת""א 125",0.35%
מור מחקה אי.בנקים מש,5131966,4,A,מניות בארץ,מניות לפי ענפים,בנקאות ואשראי חוץ בנקאי,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מור קרנות,יובנק נאמנות,פטורה,0.500,0.0200,1147.8,26.02.2026,461.52,461.52,‎-3.22,0.44,7.68,57.52,2.98,אינדקס בנקים משקל שווה,לא נגבית עמלת הפצה
הורייזן פיוצ'ר טק גלובל,5131974,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",איילון,יובנק נאמנות,פטורה,1.600,0.0450,31.5,25.02.2026,139.13,139.11,0.87,‎-5.52,‎-8.08,‎-8.86,2.09,"NASDAQ COMPOSITE INDEX - GTR,דולר ארה""ב",0.35%
איביאי גמישה,5131982,4,D,גמישות,,,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.900,0.0400,18.0,25.02.2026,157.08,157.08,‎-0.13,1.13,4.77,19.47,1.33,אחר,0.35%
איילון תיק רשויות מקומיות,5131990,1,0,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 5% מניות",,,איילון,יובנק נאמנות,פטורה,0.540,0.0300,11.8,26.02.2026,116.88,116.88,‎-0.22,0.27,1.41,8.53,0.28,"תל גוב-כללי,תל בונד-שקלי AA-AAA,ת""א 125",0.35%
קסם KTF אינ eGaming מד,5132006,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - מנוטרלת מט""ח",e-Gaming,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",קסם,מזרחי טפחות נאמנות,פטורה,0.600,0.0250,8.9,25.02.2026,166.71,166.71,1.63,‎-7.20,‎-14.03,11.90,1.83,אינדקס eGaming,לא נגבית עמלת הפצה
איילון אנרגיה ירוקה יש-אר,5132014,4,B,מניות בארץ,מניות לפי ענפים,,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",איילון,יובנק נאמנות,פטורה,1.250,0.0400,20.5,25.02.2026,126.63,126.63,0.46,5.08,24.84,93.36,2.34,"ת""א-קלינטק",0.35%
הראל מחקהאנד Aשק מנפ ישר,5132030,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות שקלי",בריבית קבועה,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,הראל,מזרחי טפחות נאמנות,פטורה,0.300,0.0200,76.0,26.02.2026,117.27,117.27,‎-0.22,‎-0.06,0.86,7.42,0.25,אינדקס A שקלי מנפיקים ישראלים,לא נגבית עמלת הפצה
ב. אלטרנטיב 10/90,5132055,1,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 10% מניות","אג""ח כללי בארץ- עד 10% מניות ללא סימן קריאה",,איילון,יובנק נאמנות,פטורה,0.790,0.0400,140.1,26.02.2026,140.16,140.16,‎-0.15,0.68,2.23,11.86,0.43,"All-Bond כללי,מניות כללי",0.35%
איביאי מחקה משSPסקטורUSממ,5132063,4,A,"מניות בחו""ל","מניות בחו""ל קרן משולבת",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.500,0.0200,21.7,25.02.2026,30661.50,30661.50,1.18,‎-1.18,‎-1.54,9.07,1.61,"S&P Financial Select Sector- NTR,S&P Technology Select Sector Index - NTR,S&P Health Care Select Sector Index- NTR",לא נגבית עמלת הפצה
איביאי מחקה DJ Internetממ,5132071,4,A,"מניות בחו""ל","מניות לפי ענפים בחו""ל - מנוטרלת מט""ח",Internet,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.800,0.0200,32.0,25.02.2026,7913.78,7911.49,2.31,‎-9.69,‎-11.09,‎-10.74,1.89,Dow Jones Internet Composite Index - NTR,לא נגבית עמלת הפצה
קסם KTFמש SP סקטורים ארהב,5132089,4,D,"מניות בחו""ל","מניות בחו""ל קרן משולבת",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",קסם,יובנק נאמנות,פטורה,0.000,0.0200,80.5,25.02.2026,29395.10,29395.10,0.75,‎-1.41,‎-4.53,‎-4.64,1.14,"S&P Financial Select Sector- NTR,S&P Technology Select Sector Index - NTR,S&P Health Care Select Sector Index- NTR,דולר ארה""ב",לא נגבית עמלת הפצה
איילון בונד A-AA,5132113,1,A,"אג""ח בארץ - חברות והמרה",חברות והמרה עם מניות,חברות והמרה עם מניות ללא סימן קריאה,,איילון,יובנק נאמנות,פטורה,0.750,0.0400,5.7,26.02.2026,127.69,127.69,‎-0.19,0.09,1.24,9.53,0.40,"אג""ח כללי - קונצרני",0.35%
"קבין אג""ח ללא מניות",5132121,0,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - ללא מניות","אג""ח כללי בארץ ללא מניות וללא סימן קריאה",,איילון,יובנק נאמנות,פטורה,0.790,0.0400,1351.9,26.02.2026,134.20,134.20,‎-0.23,‎-0.30,0.33,5.78,0.30,All-Bond כללי,0.35%
איביאי מחקה מש טכנל על חד,5132139,4,D,"מניות בחו""ל","מניות בחו""ל קרן משולבת",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.500,0.0300,24.3,25.02.2026,143.32,143.32,‎-0.24,‎-4.19,2.71,25.19,1.74,"ת""א-טכנולוגיה,NASDAQ 100 - NTR,NASDAQ OMX China Technology Index,דולר ארה""ב",לא נגבית עמלת הפצה
איביאי מחקה SP Technology,5132147,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - חשופת מט""ח",Technology,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.500,0.0230,111.5,25.02.2026,220.53,220.53,1.51,‎-2.88,‎-3.78,6.05,2.24,"S&P Technology Select Sector Index - NTR,דולר ארה""ב",לא נגבית עמלת הפצה
איביאי מחקה SPTechnoממ,5132154,4,A,"מניות בחו""ל","מניות לפי ענפים בחו""ל - מנוטרלת מט""ח",Technology,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.500,0.0230,142.4,25.02.2026,205.24,205.24,1.90,‎-2.82,‎-0.95,20.16,2.87,S&P Technology Select Sector Index - NTR,לא נגבית עמלת הפצה
תכלית TTF ביגטק30ארהב ממ,5132162,4,A,"מניות בחו""ל","מניות לפי ענפים בחו""ל - מנוטרלת מט""ח",Technology,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",מיטב קרנות נאמנות,יובנק נאמנות,פטורה,0.500,0.0300,235.1,25.02.2026,215.69,215.62,1.77,‎-5.05,‎-4.47,11.40,2.27,"אינדקס ביג טק 30 ארה""ב",לא נגבית עמלת הפצה
פסטרנק שהם 10/90,5132204,1,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 10% מניות","אג""ח כללי בארץ- עד 10% מניות ועם סימן קריאה",,איילון,מזרחי טפחות נאמנות,פטורה,0.730,0.0400,276.5,26.02.2026,137.70,137.70,‎-0.25,‎-0.13,0.76,8.60,0.33,"All-Bond כללי,מניות כללי",0.35%
מור מחקה אי.סייבר מח.ענן,5132220,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - חשופת מט""ח",Cyber Security,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",מור קרנות,יובנק נאמנות,פטורה,0.800,0.0200,85.1,25.02.2026,112.06,112.06,2.75,‎-13.55,‎-20.16,‎-31.23,2.76,"אינדקס סייבר למחשוב ענן,דולר ארה""ב",לא נגבית עמלת הפצה
קסם BECOMNTR KTF ממ,5132261,4,A,"מניות בחו""ל","מניות לפי ענפים בחו""ל - מנוטרלת מט""ח",e-Commerce,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",קסם,יובנק נאמנות,פטורה,0.000,0.0250,4.1,25.02.2026,88.05,88.01,1.45,‎-9.58,‎-14.67,‎-22.73,1.74,BlueStar E-Commerce US Leaders,לא נגבית עמלת הפצה
קסם KTF אינ Cloud Comp ממ,5132279,4,A,"מניות בחו""ל","מניות לפי ענפים בחו""ל - מנוטרלת מט""ח",Cloud Computing,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",קסם,יובנק נאמנות,פטורה,0.500,0.0250,10.8,25.02.2026,78.14,78.13,2.56,‎-11.73,‎-17.62,‎-25.26,3.16,אינדקס Cloud Computing,לא נגבית עמלת הפצה
איילון ואליו מ ESGעד30מטח,5132287,4,B,"מניות בחו""ל","מניות כללי בחו""ל","מניות כללי בחו""ל מוגנת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",איילון,יובנק נאמנות,פטורה,1.480,0.0400,4.6,25.02.2026,128.84,128.84,0.95,‎-2.94,1.01,12.11,1.49,S&P 500 Scored & Screened Index - NTR,0.35%
הראל מחקהאנד קמעו מסח יש,5132295,4,A,מניות בארץ,מניות לפי ענפים,שילוב ענפים,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,הראל,מזרחי טפחות נאמנות,פטורה,0.350,0.0200,27.9,26.02.2026,163.77,163.77,‎-0.17,‎-2.75,2.20,24.41,2.47,אינדקס קמעונאות ומסחר ישראל,לא נגבית עמלת הפצה
אילים מניות בנקים,5132303,4,B,מניות בארץ,מניות לפי ענפים,,,אילים קרנות,יובנק נאמנות,פטורה,0.690,0.0300,460.8,26.02.2026,385.60,385.60,‎-2.90,1.19,8.24,58.44,2.83,"ת""א בנקים-5",0.35%
איביאי מחקה DJ Asia Div30,5132329,4,D,"מניות בחו""ל","מניות גיאוגרפי - חשופת מט""ח",אסיה ופסיפיק- כללי,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.800,0.0200,15.5,24.02.2026,9378.31,9378.31,0.17,12.23,17.03,46.97,1.47,"DJ ASIA SELECT DIVIDEND 30 TOTAL RETURN INDEX - NTR,דולר ארה""ב",לא נגבית עמלת הפצה
איביאי מחקה SP R Banks,5132337,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - חשופת מט""ח",Banking,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.000,0.0200,6.7,25.02.2026,7957.51,7957.51,1.33,0.97,4.48,‎-4.70,2.33,"S&P Regional Banks Select Industry Index -NTR,דולר ארה""ב",לא נגבית עמלת הפצה
איביאי מחקה Japan50Div ממ,5132345,4,A,"מניות בחו""ל","מניות גיאוגרפי - מנוטרלת מט""ח",אסיה ופסיפיק- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.800,0.0200,39.2,24.02.2026,11107.69,11104.62,0.95,5.74,11.64,37.91,1.68,Japan 50 Dividend iNDEX,לא נגבית עמלת הפצה
איביאי מחקה SPCommunicati,5132360,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - חשופת מט""ח",Communication,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.500,0.0230,44.5,25.02.2026,171.75,171.71,‎-0.10,‎-2.99,‎-4.15,‎-1.29,1.90,"S&P Communication Services Select Sector,דולר ארה""ב",לא נגבית עמלת הפצה
קסם KTF אינ Travel ממ,5132378,4,A,"מניות בחו""ל","מניות לפי ענפים בחו""ל - מנוטרלת מט""ח",Travel,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",קסם,יובנק נאמנות,פטורה,0.700,0.0250,13.3,25.02.2026,127.35,127.35,0.94,‎-2.00,‎-2.59,4.21,2.35,אינדקס Travel,לא נגבית עמלת הפצה
"פוקוס אג""ח חברות",5132386,0,A,"אג""ח בארץ - חברות והמרה",חברות והמרה ללא מניות,חברות והמרה ללא מניות עם סימן קריאה,,איילון,יובנק נאמנות,פטורה,0.890,0.0400,121.4,26.02.2026,128.43,128.43,‎-0.26,‎-1.02,‎-0.29,4.53,0.29,"אג""ח כללי - קונצרני",0.35%
