שם הקרן,מס' קרן,פרופיל חשיפה מניות,"פרופיל חשיפה מט""ח",סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מאפייני הקרן,מנהל קרן,נאמן,מעמד מס,דמי ניהול,דמי נאמנות,שווי נכסי הקרן,תאריך נכונות,מחיר קניה,מחיר פדיון,שינוי יומי %,תשואות מתחילת החודש,תשואות מתחילת השנה,תשואות 12 חודשים,סטיית תקן,נכס ייחוס,סיווג עמלת הפצה
מור גמישה 4D,5109731,4,D,גמישות,,,,מור קרנות,יובנק נאמנות,פטורה,1.880,0.0300,1279.6,26.02.2026,651.16,651.16,‎-0.36,1.97,9.55,44.00,1.51,אחר,0.35%
"מור מעשר אג""ח - כשרה",5109749,1,A,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 5% מניות",,קרן כשרה,מור קרנות,יובנק נאמנות,פטורה,0.880,0.0250,103.6,26.02.2026,191.08,191.08,‎-0.22,‎-0.03,0.86,7.03,0.26,All-Bond כללי,0.35%
מור שקלי מדינה ללא מני כש,5109756,0,0,"אג""ח בארץ - מדינה","אג""ח מדינה שקליות - ללא מניות",,קרן כשרה,מור קרנות,יובנק נאמנות,פטורה,0.650,0.0250,224.0,26.02.2026,165.03,165.03,‎-0.33,0.15,0.97,6.63,0.30,תל גוב – לא צמודות,0.35%
"קסם אקטיב ארה""ב נקוב $",5109848,4,D,"מניות בחו""ל","מניות כללי בחו""ל","מניות חו""ל נקובת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,יחידות הקרן נקובות ב- $,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",קסם,מזרחי טפחות נאמנות,פטורה,1.400,0.0400,29.1,25.02.2026,96.16,96.16,1.09,‎-3.87,‎-5.74,‎-16.44,2.77,"RUSSELL 2000 - NTR,NASDAQ 100 - NTR",0.35%
קסם אקט ממשלתי + 15%,5109863,2,A,"אג""ח בארץ - מדינה","אג""ח מדינה כללי - עד 20% מניות",,,קסם,יובנק נאמנות,פטורה,0.730,0.0400,74.5,26.02.2026,209.50,209.50,‎-0.17,0.69,2.13,10.49,0.33,"תל גוב-שקלי 2-5,תל גוב-צמודות 2-5,ת""א 125",0.35%
סיגמא 00 אג כללי ללא מניו,5109871,0,0,"אג""ח בארץ - כללי","אג""ח כללי בארץ - ללא מניות","אג""ח כללי בארץ ללא מניות וללא סימן קריאה",,סיגמא,אלמגור-בריטמן נאמנות,פטורה,1.490,0.0400,34.7,26.02.2026,174.12,174.12,‎-0.29,‎-0.76,‎-0.25,5.17,0.30,All-Bond כללי,0.35%
"MTF מחקה ת""א 125",5109889,4,A,מניות בארץ,מניות לפי שווי שוק,Mid Cap & Large,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מגדל,אלמגור-בריטמן נאמנות,פטורה,0.100,0.0050,2169.0,26.02.2026,448.05,448.05,‎-1.19,1.46,10.65,61.95,2.07,"ת""א 125",לא נגבית עמלת הפצה
"MTF מחקה ת""א 35",5109897,4,A,מניות בארץ,מניות לפי שווי שוק,Large Cap,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מגדל,אלמגור-בריטמן נאמנות,פטורה,0.100,0.0150,673.8,26.02.2026,413.16,413.16,‎-1.47,2.44,12.92,67.30,1.94,"ת""א-35",לא נגבית עמלת הפצה
קסםאקטAA ומעלה ו/או מדינה,5109988,0,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - ללא מניות","אג""ח כללי בארץ בדירוג גבוה בלבד (AA ומעלה ו/ או מדינה)",,קסם,יובנק נאמנות,פטורה,0.590,0.0400,113.7,26.02.2026,128.03,128.03,‎-0.19,0.02,0.53,6.13,0.22,"תל גוב-כללי,תל בונד-צמודות AA-AAA,תל בונד-שקלי AA-AAA",0.35%
"הראל ת""א-Midcap150",5110051,4,B,מניות בארץ,מניות לפי שווי שוק,מניות All Cap,,הראל,מזרחי טפחות נאמנות,פטורה,1.950,0.0400,103.6,26.02.2026,11087.04,11087.04,‎-0.48,‎-0.54,7.71,61.21,2.54,"ת""א-90 ו- CAP 0.8% SME60",0.35%
